;Nº DO CHAMADO;DATA DE CRIAÇÃO;RESPONSÁVEL;DATA DA VISTORIA;PRIORIDADE;STATUS;DESCRICÃO DO PROBLEMA;Colunas2;Colunas1;Coluna2;LOGRADOURO;BAIRRO;CONTATO;CENTRO DE CUSTO;SOLICITANTE;ORIGEM DA DEMANDA;DATA DE INICIO;DURAÇÃO PREVISTA;TÉRMINO PREVISTO;TÉRMINO REAL;% CONCLUÍDA;DIAS DE ATRASO;;Base de dados AB;;Prioridade;STATUS;QTD.;%;;;;;;;
120;120/2020 - SME;03/06/2020;GENIVAL;;ALTA;AGUARDANDO VISTORIA;SOLICITAMOS COM URGÊNCIA O DESENTUPIMENTO DO BANHEIRO DO VESTIÁRIO 2 MASCULINO, QUANDO ACIONADO A DESCARGA ACONTECE UM TRANSBORDAMENTO E AFETA AS OUTRAS CABINES O QUEM TEM CAUSADO MUITOS TRANSTORNOS E MUITAS VEZES IMPOSSIBILITANDO O USO E A HIFENIZAÇÃO CORRETA DO LOCAL, E NESTE MOMENTO DE PANDEMIA PODE OCORRER OUTROS TRANSTORNOS.  ;HIDRAULICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS ROBERTO;E-MAIL;;;;;;;;1;120;;;;;;;;;;;
121;121/2020 - SME;22/06/2020;GILLIARD;;BAIXA;RESOLVIDO;PONTO TOMADA 220V PARA CAFETEIRA - ANTIGA SALA DA ROSANGELA;ELÉTRICA;SEDE PROGUARU;Resolvido pelo eletricista sérgio;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;CRIS CAVALCANTI;E-MAIL;;;;;;;;1;121;;;;;;;;;;;
122;122/2020 - SME;22/06/2020;GILLIARD;;MÉDIA;AGUARDANDO VISTORIA;PROBLEMA NA ILUMINAÇÃO EXTERNA;ELÉTRICA;C. O. AEROPORTO;;AV. PAPA JOÃO PAULO, 2000;CUMBICA; 2484-7772;0001-16-01;DENIS;E-MAIL;;;;;;;;1;122;;;;;;;;;;;
123;123/2020 - SME;22/06/2020;ENG. ANTONIO;;BAIXA;AGUARDANDO VISTORIA;AUMENTO REPENTINO NO CONSUMO DE ENERGIA ELÉTRICA;ELÉTRICA;C. O. CABUÇU;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;DENILSON SANTOS;E-MAIL;;;;;;;;1;123;;;;;;;;;;;
124;124/2020 - SME;22/06/2020;GILLIARD;;BAIXA;AGUARDANDO VISTORIA;PROBLEMA DE ILUMINAÇÃO NA SALA 110 - TOPOGRAFIA ;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DESCONHECIDO;E-MAIL;;;;;;;;1;124;;;;;;;;;;;
125;125/2020 - SME;22/06/2020;GILLIARD;;BAIXA;AGUARDANDO VISTORIA;PROBLEMA NA ILUMINAÇÃO EXTERNA;ELÉTRICA;C. O. PIMENTAS;;RUA ARACY, 188;JARDIM LEBLON;2486 2728;0001-16-01;DENIS;E-MAIL;;;;;;;;1;125;;;;;;;;;;;
126;126/2020 - SME;22/06/2020;GILLIARD;;ALTA;RESOLVIDO;PROBLEMA ELÉTRICO USINA;ELÉTRICA;USINA RECICLADORA;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;GABRIEL;WHATSAPP;;;;;;;;1;126;;;;;;;;;;;
127;127/2020 - SME;30/06/2020;GILLIARD;;BAIXA;AGUARDANDO VISTORIA;PROBLEMA DE ILUMINAÇÃO INTERNA;ELÉTRICA;CENTRO DE APOIO REGIÃO CENTRAL;;RUA JACOB BITTENCOURT, 100;JD. SÃO ROBERTO;0;0001-16-17;JOSÉ ROBERTO;E-MAIL;;;;;;;;1;127;;;;;;;;;;;
128;128/2020 - SME;16/06/2020;;;BAIXA;AGUARDANDO VISTORIA;SOLICITAMOS A MANUTENÇÃO DE UM VAZAMENTO NO VESTIÁRIO FEMININO DO CENTRO OPERACIONAL CUMBICA;HIDRAULICA;C. O. CUMBICA;;RUA ATALAIA DO NORTE, 150; CUMBICA;2412 2748;0001-16-01;BRUNO;E-MAIL;;;;;;;;1;128;;;;;;;;;;;
129;129/2020 - SME;17/06/2020;;;BAIXA;AGUARDANDO VISTORIA;SOLICITAMOS SERVIÇOS DE REPARO PARA A VÁLVULA DO MICTÓRIO NA MECÂNICA;HIDRAULICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;GABRIEL;E-MAIL;;;;;;;;1;129;;;;;;;;;;;
130;130/2020 - SME;30/06/2020;;;BAIXA;AGUARDANDO VISTORIA;SOLICITAMOS A LIGAÇÃO DE MAIS UM PONTO DE ÁGUA DE RUA NO PATIO DA UNIDADE PEDRO DE TOLEDO AO LADO DA BORRACHARIA, PARA QUE OS MOTORISTAS POSSAM JOGAR UMA ÁGUA NOS VEÍCULOS PRINCIPALMENTE NOS DIAS DE CERRAÇÃO QUANDO OS VIDROS FICAM TODOS BRANCO;HIDRAULICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;CRISTIANO DE OLIVEIRA;E-MAIL;;;;;;;;1;130;;;;;;;;;;;
131;131/2020 - SME;03/07/2020;;;BAIXA;RESOLVIDO;PROBLEMA NO PONTO DE TOMADA DA REFRESQUEIRA;ELÉTRICA;C. O. AEROPORTO;;AV. PAPA JOÃO PAULO, 2000;CUMBICA; 2484-7772;0001-16-01;IZAIAS;PRESENCIAL;;;;;;;;1;131;;;;;;;;;;;
132;132/2020 - SME;03/07/2020;;;MÉDIA;VISTORIADO;PROBLEMA NA TOMADA DO PORTÃO SOCIAL;ELÉTRICA;ALMOXARIFADO IPANEMA;PROGRAMADO PARA O ELETRICISTA DONIZETE RESOLVER;RUA CAMPO GRANDE, 188;JD. IPANEMA;2088-2797 ;0001-16-01;MARCOS TERRITO;PRESENCIAL;;;;;;;;1;132;;;;;;;;;;;
133;133/2020 - SME;03/07/2020;;;ALTA;AGUARDANDO VISTORIA;PROBLEMA ILUMINAÇÃO EXTERNA EM FRENTE DA GUARITA;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;DENIS;E-MAIL;;;;;;;;1;133;;;;;;;;;;;
134;134/2020 - SME;03/07/2020;;;BAIXA;AGUARDANDO VISTORIA;PROBLEMA NO PONTO DE TOMADA DA REFRESQUEIRA;ELÉTRICA;C. O. CUMBICA;;RUA ATALAIA DO NORTE, 150; CUMBICA;2412 2748;0001-16-01;ALAN;E-MAIL;;;;;;;;1;134;;;;;;;;;;;
135;135/2020 - SME;03/07/2020;;;ALTA;VISTORIADO;PROBLEMA NO ACIONAMENTO DO PORTÃO SOCIAL;ELÉTRICA;ALMOXARIFADO IPANEMA;"solcitação de serviço dia 06/07/2020
obs: kit porteiro eletronico com MONITOR modelo HDL";RUA CAMPO GRANDE, 188;JD. IPANEMA;2088-2797 ;0001-16-01;FERNANDO;E-MAIL;;;;;;;;1;135;;;;;;;;;;;
136;136/2020 - SME;07/07/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NA USINA RECICLADORA;ELÉTRICA;USINA RECICLADORA;Aguardando autorização da supervisão;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;;;;;;;;;;1;136;;;;;;;;;;;
137;137/2020 - SME;07/07/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA PONTO DE ENERGIA AR CONDICIONADO SALA DO GERENTE DE ASSUNTOS LEGISLATIVOS;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;VITOR AMODIO;PRESENCIAL;;;;;;;;1;137;;;;;;;;;;;
138;138/2020 - SME;08/07/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NO INTERRUPTOR DA SALA 5;ELÉTRICA;SEÇÃO DE TRANSP. PESADO;Resolvido pelo eletricista moacir em 15/07/2020;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;CRISTIANO DE OLIVEIRA;E-MAIL;;;;;;;;1;138;;;;;;;;;;;
139;139/2020 - SME;08/07/2020;GILLIARD;;BAIXA;AGUARDANDO VISTORIA;PROBLEMA ILUMINAÇÃO EXTERNA;ELÉTRICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;JULIO;E-MAIL;;;;;;;;1;139;;;;;;;;;;;
140;140/2020 - SME;08/07/2020;;;BAIXA;AGUARDANDO VISTORIA;MANUTENÇÃO DE MAÇANETA DA PORTA DE SAÍDA DA RECEPÇÃO 2;CIVIL;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;;E-MAIL;;;;;;;;1;140;;;;;;;;;;;
141;141/2020 - SME;10/07/2020;;;MÉDIA;AGUARDANDO VISTORIA;LIMPEZA DA CAIXA D'ÁGUA LOCALIZADA NA GUARITA DOS VIGIAS;HIDRAULICA;C. O. BONSUCESSO;;RUA ANTÔNIO TAVA, 200 ;BONSUCESSO; 2438 2667;0001-16-01;;E-MAIL;;;;;;;;1;141;;;;;;;;;;;
142;142/2020 - SME;10/07/2020;;;ALTA;AGUARDANDO VISTORIA;MANUTENÇÃO NO PORTÃO;CIVIL;C. O. BONSUCESSO;;RUA ANTÔNIO TAVA, 200 ;BONSUCESSO; 2438 2667;0001-16-01;;E-MAIL;;;;;;;;1;142;;;;;;;;;;;
143;143/2020 - SME;13/07/2020;GILLIARD;;BAIXA;VISTORIADO;PROBLEMA NO DISJUNTOR DA ILUMINAÇÃO EXTERNA;ELÉTRICA;ALMOXARIFADO IPANEMA;;RUA CAMPO GRANDE, 188;JD. IPANEMA;2088-2797 ;0001-16-01;HÉLIO;PRESENCIAL;;;;;;;;1;143;;;;;;;;;;;
144;144/2020 - SME;13/07/2020;GILLIARD;;MÉDIA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DO WC FEMININO ANDAR EDIFICAÇÕES;ELÉTRICA;SEDE PROGUARU;Resolvido pelo eletricista sérgio;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;CAMILA;WHATSAPP;;;;;;;;1;144;;;;;;;;;;;
145;145/2020 - SME;14/07/2020;GILLIARD;;ALTA;RESOLVIDO;PROBLEMA DE QUEDA DE ENERGIA NO CENTRO OPERACIONAL;ELÉTRICA;C. O. CUMBICA;Problema no ramal da rua, serviço realizado pela edp bandeirantes;RUA ATALAIA DO NORTE, 150; CUMBICA;2412 2748;0001-16-01;;E-MAIL;;;;;;;;1;145;;;;;;;;;;;
146;146/2020 - SME;15/07/2020;GILLIARD;;BAIXA;AGUARDANDO VISTORIA;PROBLEMA NAS TOMADAS E LAMPADAS;ELÉTRICA;C. O. CUMBICA;;RUA ATALAIA DO NORTE, 150; CUMBICA;2412 2748;0001-16-01;;E-MAIL;;;;;;;;1;146;;;;;;;;;;;
147;147/2020 - SME;16/07/2020;;;MÉDIA;AGUARDANDO VISTORIA;manutenção das 2 torneiras do refeitório;HIDRAULICA;SEÇÃO DE TRANSP. PESADO;;RUA PEDRO DE TOLEDO, 360;TABOÃO;2402-8710;0001-16-01;;E-MAIL;;;;;;;;1;147;;;;;;;;;;;
148;148/2020 - SME;20/07/2020;GILLIARD;;BAIXA;RESOLVIDO;PROBLEMA NA ILUMINAÇÃO DO WC FEMININO ANDAR EDIFICAÇÕES;ELÉTRICA;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;CAMILA;WHATSAPP;;;;;;;;1;148;;;;;;;;;;;
149;149/2020 - SME;22/07/2020;GILLIARD;;BAIXA;AGUARDANDO VISTORIA;INSTALAÇÃO ELÉTRICA DE MESA VIBRATÓRIA;ELÉTRICA;C. O. CABUÇU;;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;VANDERLEY;E-MAIL;;;;;;;;1;149;;;;;;;;;;;
150;150/2020 - SME;23/07/2020;GILLIARD;;BAIXA;AGUARDANDO VISTORIA;PROBLEMA NA CANCELA;ELÉTRICA;C. O. TABOÃO;;RUA PEDRO DE TOLEDO, 500 ;TABOÃO; 2404 4331;0001-16-01;DENIS;E-MAIL;;;;;;;;1;150;;;;;;;;;;;
151;151/2020 - SME;23/07/2020;GILLIARD;;BAIXA;RESOLVIDO;SUBSTITUIÇÃO DO MOTOR RECONDICIONADO DO TRITURADOR DA USINA;ELÉTRICA;C. O. CABUÇU;Resolvido por Gheovani em 23/07/2020;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;MARCOS TERRITO;WHATSAPP;;;;;;;;1;151;;;;;;;;;;;
152;152/2020 - SME;24/07/2020;GILLIARD;;ALTA;EM ATENDIMENTO;READEQUAÇÃO DA NOVA SALA DO SETOR MECÂNICA LOCALIZADO NO PIOXII;ELÉTRICA;ALMOXARIFADO PIO XII;Eletricista Gheovani começa em 24/07/20;AV. PAPA PIO XII, 975;MACEDO;2087-0286;0001-16-08;MARCOS TERRITO;PRESENCIAL;;;;;;;;1;152;;;;;;;;;;;
153;153/2020 - SME;28/07/2020;;;MÉDIA;AGUARDANDO VISTORIA;Manutenção nos banheiros masculino e feminino, colocar porta balcão no transporte leve, canaletas no transporte leve, substituição de alguns dispenser de álcool e sabonete ;DIVERSOS;SEDE PROGUARU;;RUA ARMINDA DE LIMA, 788;VILA PROGRESSO;2475-9000;0001-16-07;VERA;E-MAIL;;;;;;;;1;153;;;;;;;;;;;
154;154/2020 - SME;28/07/2020;GILLIARD;;ALTA;EM ATENDIMENTO;READEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DA NOVA REGIONAL CO EMILIO RIBAS;ELÉTRICA;C. O. EMÍLIO RIBAS;;#N/D;#N/D;#N/D;#N/D;;;;;;;;;;1;154;;;;;;;;;;;
155;155/2020 - SME;28/07/2020;GILLIARD;;ALTA;EM ATENDIMENTO;MANOBRA DE DESLIGAMENTO E RELIGAMENTO DO MOTOR DO BRITADOR DA USINA;ELÉTRICA;USINA RECICLADORA;AGENDADO PARA 30/07/2020;RUA BENJAMIN HARRIS HUNNICUTT, 4.400;CABUÇU;2458 2454;0001-16-01;;;;;;;;;;1;155;;;;;;;;;;;
156;156/2020 - SME;31/07/2020;;;MÉDIA;AGUARDANDO VISTORIA;manutenção nas lâmpadas dos vestiário feminino;ELÉTRICA;C. O. BONSUCESSO;;RUA ANTÔNIO TAVA, 200 ;BONSUCESSO; 2438 2667;0001-16-01;;;;;;;;;;1;156;;;;;;;;;;;
157;157/2020 - SME;03/08/2020;;;MÉDIA;AGUARDANDO VISTORIA;conserto do encanamento de água;HIDRAULICA;EPG IZOLINA ALVES DAVID;;#N/D;#N/D;#N/D;#N/D;;;;;;;;;;1;157;;;;;;;;;;;
158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
